mask_area,fill_ratio,n_components,largest_component_area,largest_component_ratio,mean_component_area,std_component_area,median_component_area,skeleton_length,n_endpoints,n_junctions,endpoint_density,junction_density,branch_density,n_segments,mean_segment_length,median_segment_length,max_segment_length,std_segment_length,mean_tortuosity,median_tortuosity,max_tortuosity,orientation_mean_deg,orientation_std_deg,mean_thickness,median_thickness,max_thickness,std_thickness,time_label,time_h,group,image_name,thickness_norm,segment_length_norm,thickness_inverted,proinflammatory_score_0_1,proinflammatory_score
618368,0.19734477124183006,180,211843.0,0.34258402763403023,3435.3777777777777,17433.534045420613,443.5,43286,1035,3381,0.0003303079044117647,0.0010790058210784314,0.013814210580065359,1997,19.84126189283926,14.0,181.0,19.370031936366,0.9819622475781157,0.9930429333567872,1.3333333333333333,86.4647466453723,56.12690043193215,14.273746056442734,12.0,56.60388679233962,8.264426229641087,24HS,24,N2,Image110.tif,0.3265564437074638,0.2,0.6734435562925363,0.4367217781462681,43.672177814626814
616051,0.19660532832924837,205,216502.0,0.3514351896190413,3005.1268292682926,15784.673014328808,507.0,41634,1082,3550,0.0003453073937908497,0.0011329401552287583,0.013286994485294117,2040,18.49264705882353,13.0,156.0,17.08378846413164,1.0350766916836869,1.0021355173865036,2.3038035133768506,86.28241323497798,51.61003691930056,15.8569013900738,12.165525060596439,79.6994353806851,11.265759072802574,24HS,24,N2,Image113.tif,0.35358308127388155,0.0,0.6464169187261184,0.3232084593630592,32.32084593630592
626772,0.2000268075980392,165,394221.0,0.6289703432827248,3798.6181818181817,30708.514673230824,386.0,40379,938,3141,0.0002993515114379085,0.0010024126838235293,0.01288647620506536,1842,20.08469055374593,15.0,139.0,18.846611947708276,1.0126446420885844,0.9958640886279955,1.5022238707541233,81.75471563007851,45.317024764467064,16.619422813134758,12.649110640673518,122.70289320142373,12.850705562248683,24HS,24,N2,Image116.tif,0.43254207490297253,0.4,0.5674579250970275,0.4837289625485138,48.372896254851376
629658,0.20094784007352942,139,323331.0,0.5135025680607568,4529.913669064748,28051.568691431516,599.0,42105,936,3169,0.00029871323529411767,0.0010113485498366014,0.013437308517156863,1876,20.646055437100213,15.0,200.0,18.843522706221073,1.0081024663179683,0.9807925614632775,1.4285714285714286,99.46918302107835,41.14027893058504,15.413106129795324,12.649110640673518,97.01546268507923,9.830500912865306,24HS,24,N2,Image119.tif,0.43254207490297253,0.4,0.5674579250970275,0.4837289625485138,48.372896254851376
626324,0.19988383374183005,182,413583.0,0.6603339485633634,3441.3406593406594,30712.312878477413,379.5,42285,994,3728,0.0003172232434640523,0.0011897467320261437,0.013494753370098039,2126,17.979774223894637,14.0,141.0,16.393045847546134,1.0062171349916715,0.9870673929997706,2.0211302086361083,98.42910351140672,48.7764006652888,15.929765952251858,12.806248474865697,72.27724399837061,10.529303367443239,24HS,24,N3,Image14.tif,0.45819926105581804,0.2,0.5418007389441819,0.37090036947209093,37.09003694720909
607294,0.19381063623366013,166,264108.0,0.43489314895256664,3658.397590361446,21362.8398736785,541.0,40915,892,3071,0.00028467116013071897,0.0009800730187908497,0.013057534211601307,1817,20.70500825536599,15.0,229.0,20.707889010408707,1.0254992646700656,0.9973625953097272,2.0,91.48602425056997,49.442159935541724,15.074381094365352,12.649110640673518,72.71863585079137,9.320352007489166,24HS,24,N3,Image17.tif,0.43254207490297253,0.4,0.5674579250970275,0.4837289625485138,48.372896254851376
619603,0.19773890676062092,148,366157.0,0.5909542077749785,4186.506756756757,30043.634435847125,532.5,40792,922,3193,0.0002942453022875817,0.0010190078635620916,0.01301828022875817,1873,19.93806727175654,14.0,231.0,19.52373144639047,0.9828694659711518,0.9919349550499537,1.2494323035207153,86.14257181062607,46.64736219976565,16.301637003689486,12.649110640673518,93.637599285757,11.788146438017575,24HS,24,N3,Image20.tif,0.43254207490297253,0.2,0.5674579250970275,0.38372896254851374,38.372896254851376
622033,0.1985144122753268,175,154181.0,0.2478662707605545,3554.4742857142855,17606.265006952864,454.0,39702,983,3251,0.00031371272467320264,0.0010375178717320261,0.012670419730392157,1952,18.545594262295083,14.0,173.0,16.934963924687256,1.0225343423002367,1.014134976662219,1.5,83.92798062278275,48.98643312681912,15.873469031767288,13.416407864998739,70.3420215802759,9.496446428844788,24HS,24,N3,Image23.tif,0.5578250013240986,0.2,0.4421749986759014,0.32108749933795067,32.10874993379507
622854,0.19877642463235295,164,261579.0,0.41996840351029296,3797.890243902439,20880.29781554857,622.5,40548,981,3304,0.0003130744485294118,0.0010544321895424836,0.012940410539215687,1955,18.907928388746804,14.0,209.0,17.947058078202986,0.9746274942529246,0.9789871508779666,1.25,93.00898870230935,47.37292302978777,16.494754861134137,13.416407864998739,88.83692925805124,11.457824753105074,24HS,24,N4,Image113.tif,0.5578250013240986,0.2,0.4421749986759014,0.32108749933795067,32.10874993379507
630727,0.20128899867238562,131,267222.0,0.4236729995703371,4814.7099236641225,24768.604057127573,524.0,42039,929,3489,0.00029647926879084965,0.0011134727328431372,0.013416245404411765,1991,19.215971873430437,14.0,157.0,17.534713108124738,0.9764367124969612,0.9692435141339465,1.643989873053573,98.25837429071275,49.64995867051538,16.32514632858126,12.806248474865697,127.9531164137865,12.275977216426915,24HS,24,N4,Image116.tif,0.45819926105581804,0.2,0.5418007389441819,0.37090036947209093,37.09003694720909
